1599, 1, 6,285,1599-01-06 01:11:27
1599, 1,20,300,1599-01-20 18:51:57
1599, 2, 4,315,1599-02-04 13:37:23
1599, 2,19,330,1599-02-19 10:29:43
1599, 3, 6,345,1599-03-06 09:43:23
1599, 3,21,  0,1599-03-21 12:03:38
1599, 4, 5, 15,1599-04-05 17:24:25
1599, 4,21, 30,1599-04-21 02:05:47
1599, 5, 6, 45,1599-05-06 13:37:33
1599, 5,22, 60,1599-05-22 03:50:31
1599, 6, 6, 75,1599-06-06 19:54:40
1599, 6,22, 90,1599-06-22 13:14:33
1599, 7, 8,105,1599-07-08 06:53:28
1599, 7,24,120,1599-07-24 00:00:24
1599, 8, 8,135,1599-08-08 15:48:09
1599, 8,24,150,1599-08-24 05:26:02
1599, 9, 8,165,1599-09-08 16:30:02
1599, 9,24,180,1599-09-24 00:24:28
1599,10, 9,195,1599-10-09 05:14:55
1599,10,24,210,1599-10-24 06:48:46
1599,11, 8,225,1599-11-08 05:39:22
1599,11,23,240,1599-11-23 01:56:16
1599,12, 7,255,1599-12-07 20:33:29
1599,12,22,270,1599-12-22 13:55:35
1600, 1, 6,285,1600-01-06 07:07:11
1600, 1,21,300,1600-01-21 00:38:01
1600, 2, 4,315,1600-02-04 19:32:03
1600, 2,19,330,1600-02-19 16:13:21
1600, 3, 5,345,1600-03-05 15:34:41
1600, 3,20,  0,1600-03-20 17:43:05
1600, 4, 4, 15,1600-04-04 23:11:31
1600, 4,20, 30,1600-04-20 07:41:21
1600, 5, 5, 45,1600-05-05 19:21:06
1600, 5,21, 60,1600-05-21 09:24:36
1600, 6, 6, 75,1600-06-06 01:36:27
1600, 6,21, 90,1600-06-21 18:50:38
1600, 7, 7,105,1600-07-07 12:35:04
1600, 7,23,120,1600-07-23 05:40:31
1600, 8, 7,135,1600-08-07 21:30:18
1600, 8,23,150,1600-08-23 11:10:40
1600, 9, 7,165,1600-09-07 22:13:35
1600, 9,23,180,1600-09-23 06:13:17
1600,10, 8,195,1600-10-08 11:00:21
1600,10,23,210,1600-10-23 12:40:27
1600,11, 7,225,1600-11-07 11:26:06
1600,11,22,240,1600-11-22 07:49:03
1600,12, 7,255,1600-12-07 02:20:31
1600,12,21,270,1600-12-21 19:48:10
1601, 1, 5,285,1601-01-05 12:53:58
1601, 1,20,300,1601-01-20 06:30:00
1601, 2, 4,315,1601-02-04 01:18:32
1601, 2,18,330,1601-02-18 22:05:04
1601, 3, 5,345,1601-03-05 21:20:26
1601, 3,20,  0,1601-03-20 23:34:40
1601, 4, 5, 15,1601-04-05 04:55:58
1601, 4,20, 30,1601-04-20 13:33:08
1601, 5, 6, 45,1601-05-06 01:04:23
1601, 5,21, 60,1601-05-21 15:17:15
1601, 6, 6, 75,1601-06-06 07:20:03
1601, 6,22, 90,1601-06-22 00:45:00
1601, 7, 7,105,1601-07-07 18:21:21
1601, 7,23,120,1601-07-23 11:36:51
1601, 8, 8,135,1601-08-08 03:19:56
1601, 8,23,150,1601-08-23 17:06:56
1601, 9, 8,165,1601-09-08 04:04:20
1601, 9,23,180,1601-09-23 12:06:54
1601,10, 8,195,1601-10-08 16:49:40
